"","Location.Type","Measurement","2017-09-05","2017-09-06","2017-09-07","2017-09-08","2017-09-09","2017-09-10","2017-09-11","2017-09-12","2017-09-13","2017-09-14","2017-09-15","2017-09-16","2017-09-17"
"1","Corporate","Average.Daily.Guest.Count",187.731818181818,200.072727272727,218.909090909091,282.640909090909,277.431818181818,237.327272727273,148.590909090909,231.8,233.572727272727,261.013636363636,369.309090909091,363.940909090909,315.218181818182
"2","Corporate","Average.Daily.Guest.Count.LY",207.963636363636,350.790909090909,221.1,333.190909090909,328.204545454545,296.409090909091,192.940909090909,221.854545454545,227.018181818182,244.672727272727,344.586363636364,341.709090909091,403.336363636364
"3","Corporate","Average.daily.perc.diff.yoy",-0.0634902616977254,-0.387870259699357,0.0164083266682751,-0.123010715379731,-0.116335663032956,-0.169303591662856,-0.189496123139684,0.069609242967455,0.0519182537834844,0.0847611730335539,0.0851037438674025,0.0940280782674652,-0.205966722359467
"4","Corporate","Avg.Raw.Guest.Count.Vs.LY.Change",-20.2318181818182,-150.718181818182,-2.19090909090909,-50.55,-50.7727272727273,-59.0818181818182,-44.35,9.94545454545455,6.55454545454545,16.3409090909091,24.7227272727273,22.2318181818182,-88.1181818181818
"5","Franchise","Average.Daily.Guest.Count",300.846153846154,286.692307692308,330.307692307692,413.153846153846,473.076923076923,406.769230769231,268.307692307692,315.153846153846,300.153846153846,332.769230769231,476.692307692308,511.692307692308,408.461538461538
"6","Franchise","Average.Daily.Guest.Count.LY",292.615384615385,431.461538461538,362.615384615385,463.230769230769,479.153846153846,374.923076923077,262.076923076923,321.076923076923,345.538461538462,354.153846153846,499.230769230769,512,505.769230769231
"7","Franchise","Average.daily.perc.diff.yoy",0.0241878398072058,-0.341281436777463,-0.0943782576638874,-0.114611274983996,-0.000863424875073699,0.071528338503245,0.0101925764215247,-0.00358026208062051,-0.126106767834678,-0.0575837571909367,-0.0388280363215006,0.00797390278786045,-0.200182121905469
"8","Franchise","Avg.Raw.Guest.Count.Vs.LY.Change",8.23076923076923,-144.769230769231,-32.3076923076923,-50.0769230769231,-6.07692307692308,31.8461538461538,6.23076923076923,-5.92307692307692,-45.3846153846154,-21.3846153846154,-22.5384615384615,-0.307692307692308,-97.3076923076923
"9","No Media","Average.Daily.Guest.Count",170.362017804154,176.569732937685,195.712166172107,265.071216617211,273.626112759644,225.376854599407,136.370919881306,195.183976261128,198.854599406528,211.433234421365,304.66765578635,314.290801186944,273.694362017804
"10","No Media","Average.Daily.Guest.Count.LY",200.691394658754,322.792284866469,229.13056379822,333.988130563798,351.347181008902,291.356083086053,189.275964391691,223.694362017804,227.661721068249,244.925816023739,349.694362017804,355.53412462908,378.023738872404
"11","No Media","Average.daily.perc.diff.yoy",-0.112955181274639,-0.427804333518745,-0.098212058489299,-0.169459758142484,-0.18477078985687,-0.10752036915157,-0.246135042458183,-0.0831742532404924,-0.0773155473367719,-0.0872123220515235,-0.0942290426454875,-0.0771889920671964,-0.263647851469457
"12","No Media","Avg.Raw.Guest.Count.Vs.LY.Change",-30.3293768545994,-146.222551928783,-33.4183976261128,-68.9169139465875,-77.7210682492582,-65.9792284866469,-52.9050445103858,-28.5103857566766,-28.8071216617211,-33.4925816023739,-45.026706231454,-41.2433234421365,-104.329376854599
