House Code,ZIP.Code,PO_NAME,ST_ABBRV,CTY_S_NAME,DMA_LONG_NAME,Latitude,Longitude,Num.of.Stores.within.10.miles
2106,33948,Port Charlotte,FL,Charlotte County,"Ft. Myers-Naples, FL",27.00914953,-82.14766024,1
2163,80002,Arvada,CO,Jefferson County,"Denver, CO",39.7966118,-105.078331,1
4368,20874,Germantown,MD,Montgomery County,"Washington, DC (Hagerstown, MD)",39.1810188,-77.2681808,2
3644,20877,Gaithersburg,MD,Montgomery County,"Washington, DC (Hagerstown, MD)",39.1526279,-77.20427748,2
3653,22041,Falls Church,VA,Fairfax County,"Washington, DC (Hagerstown, MD)",38.85211048,-77.13185368,3
4181,22209,Arlington,VA,Arlington County,"Washington, DC (Hagerstown, MD)",38.89481254,-77.07295168,3
4169,22306,Alexandria,VA,Fairfax County,"Washington, DC (Hagerstown, MD)",38.75022271,-77.08427267,3
3661,14219,Buffalo,NY,Erie County,"Buffalo, NY",42.7915611,-78.8117905,2
5180,14225,Buffalo,NY,Erie County,"Buffalo, NY",42.90711729,-78.77630549,2
5185,37217,Nashville,TN,Davidson County,"Nashville, TN",36.086319,-86.6476212,2
3663,37214,Nashville,TN,Davidson County,"Nashville, TN",36.14789632,-86.66658606,2
3670,17601,Lancaster,PA,Lancaster County,"Harrisburg-Lancaster-Lebanon-York, PA",40.07571081,-76.32460362,3
4558,17602,Lancaster,PA,Lancaster County,"Harrisburg-Lancaster-Lebanon-York, PA",40.02254513,-76.19417425,3
5209,17603,Lancaster,PA,Lancaster County,"Harrisburg-Lancaster-Lebanon-York, PA",40.0271376,-76.32617603,3
3682,29407,Charleston,SC,Charleston County,"Charleston, SC",32.78913119,-80.02822293,1
3693,22554,Stafford,VA,Stafford County,"Washington, DC (Hagerstown, MD)",38.4604988,-77.405098,2
4744,22026,Dumfries,VA,Prince William County,"Washington, DC (Hagerstown, MD)",38.58029012,-77.31197695,2
3698,21740,Hagerstown,MD,Washington County,"Washington, DC (Hagerstown, MD)",39.63078,-77.761192,1
3700,37388,Tullahoma,TN,Coffee County,"Nashville, TN",35.3859298,-86.23280218,1
3724,28546,Jacksonville,NC,Onslow County,"Greenville-New Bern-Washington, NC",34.7787895,-77.3954468,1
2164,81008,Pueblo,CO,Pueblo County,"Colorado Springs-Pueblo, CO",38.3118896,-104.6139069,1
3743,36330,Enterprise,AL,Coffee County,"Dothan, AL",31.31975461,-85.83134203,1
3758,21157,Westminster,MD,Carroll County,"Baltimore, MD",39.5653114,-76.9740829,1
4446,43065,Powell,OH,Delaware County,"Columbus, OH",40.164105,-83.020454,2
3765,43235,Columbus,OH,Franklin County,"Columbus, OH",40.09638168,-83.08970725,2
3776,36202,Anniston,AL,Calhoun County,"Birmingham (Anniston and Tuscaloosa), AL",33.6377983,-85.8262482,1
3777,6484,Shelton,CT,Fairfield County,"New York, NY",41.2703408,-73.12867008,1
3783,32578,Niceville,FL,Okaloosa County,"Mobile-Pensacola (Ft. Walton Beach), AL-FL",30.5207691,-86.4896164,1
4378,27409,Greensboro,NC,Guilford County,"Greensboro-High Point-Winston Salem, NC",36.07587014,-79.95948895,2
3839,27407,Greensboro,NC,Guilford County,"Greensboro-High Point-Winston Salem, NC",36.0582504,-79.8884125,2
3916,14845,Horseheads,NY,Chemung County,"Elmira (Corning), NY",42.15953604,-76.87646267,1
3922,38401,Columbia,TN,Maury County,"Nashville, TN",35.5974808,-87.0592422,1
3933,31707,Albany,GA,Dougherty County,"Albany, GA",31.61696378,-84.22149609,1
2166,80014,Aurora,CO,Arapahoe County,"Denver, CO",39.6742897,-104.8231583,1
3940,10036,New York,NY,New York County,"New York, NY",40.7555046,-73.9871292,1
3952,2818,East Greenwich,RI,Kent County,"Providence-New Bedford, RI-MA",41.66246511,-71.49645627,1
4673,18104,Allentown,PA,Lehigh County,"Philadelphia, PA",40.59332546,-75.54431449,2
3960,18052,Whitehall,PA,Lehigh County,"Philadelphia, PA",40.6304732,-75.48043676,2
4976,21029,Clarksville,MD,Howard County,"Baltimore, MD",39.21125902,-76.93735495,1
3974,31909,Columbus,GA,Muscogee County,"Columbus, GA (Opelika, AL)",32.5091925,-84.94045717,1
3993,29803,Aiken,SC,Aiken County,"Augusta-Aiken, GA-SC",33.51242913,-81.71421694,1
4069,29118,Orangeburg,SC,Orangeburg County,"Columbia, SC",33.5555916,-80.8247299,1
4111,23188,Williamsburg,VA,James City County,"Norfolk-Portsmouth-Newport News, VA",37.2710304,-76.7565002,1
4129,19047,Langhorne,PA,Bucks County,"Philadelphia, PA",40.17069895,-74.89334964,1
4131,25504,Barboursville,WV,Cabell County,"Charleston-Huntington, WV",38.4220794,-82.26539876,1
2193,32763,Orange City,FL,Volusia County,"Orlando-Daytona Beach-Melbourne, FL",28.9105797,-81.2783585,1
4380,7083,Union,NJ,Union County,"New York, NY",40.6901737,-74.29845695,2
4142,7201,Elizabeth,NJ,Union County,"New York, NY",40.66229844,-74.1754515,2
4144,20735,Clinton,MD,Prince George's County,"Washington, DC (Hagerstown, MD)",38.76994158,-76.88681252,1
